0	10
1	25
2	17
3	52
4	13
5	43
6	17
7	12
8	27
9	27
10	10
11	12
12	13
13	19
14	75
15	10
16	30
17	11
18	15
19	10
20	11
21	17
22	10
23	17
24	22
25	14
26	14
27	10
28	10
29	10
30	16
31	30
32	14
33	10
34	10
35	13
36	19
37	29
38	11
39	11
40	20
41	21
42	12
43	40
44	12
45	14
46	10
47	12
48	17
49	11
50	43
51	25
52	13
53	35
54	10
55	10
56	12
57	14
58	16
59	13
60	13
61	18
62	28
63	14
64	20
65	14
66	13
67	11
68	38
69	24
70	10
71	15
72	35
73	11
74	18
75	21
76	12
77	10
78	19
79	10
80	15
81	11
82	17
83	14
84	11
85	12
86	13
87	13
88	21
89	13
90	11
91	23
92	10
93	13
94	24
95	42
96	62
97	15
98	12
99	22
100	20
101	40
102	15
103	12
104	12
105	15
106	16
107	19
108	12
109	19
110	10
111	43
112	10
113	10
114	22
115	14
116	12
117	11
118	12
119	17
120	11
121	11
122	10
123	10
124	38
125	15
126	12
127	19
128	35
129	10
130	43
131	19
132	17
133	12
134	12
135	16
136	15
137	11
138	10
139	12
140	21
141	31
142	87
143	10
144	17
145	11
146	15
147	16
148	16
149	11
150	21
151	19
152	12
153	10
154	33
155	13
156	16
157	10
158	12
159	10
160	11
161	15
162	30
163	66
164	18
165	15
166	12
167	19
168	21
169	13
170	13
171	18
172	11
173	10
174	11
175	22
176	17
177	16
178	16
179	12
180	26
181	10
182	17
183	17
184	13
185	15
186	11
187	12
188	13
189	14
190	15
191	18
192	11
193	15
194	12
195	18
196	12
197	11
198	10
199	10
200	26
201	32
202	11
203	15
204	20
205	10
206	24
207	32
208	10
209	12
210	12
211	11
212	10
213	12
214	10
215	21
216	24
217	25
218	17
219	13
220	18
221	11
222	17
223	14
224	40
225	10
226	18
227	13
228	12
229	21
230	14
231	33
232	10
233	15
234	13
235	10
236	11
237	18
238	11
239	32
240	19
241	13
242	15
243	12
244	37
245	17
246	13
247	35
248	22
249	33
250	10
251	14
252	13
253	11
254	20
255	11
256	16
257	12
258	11
259	12
260	14
261	10
262	14
263	19
264	11
265	17
266	13
267	12
268	15
269	18
270	17
271	10
272	12
273	10
274	23
275	20
276	13
277	15
278	13
279	52
280	11
281	11
282	58
283	12
284	10
285	10
286	10
287	10
288	26
289	14
290	14
291	12
292	11
293	34
294	10
295	13
296	10
297	11
298	21
299	31
300	16
301	10
302	13
303	10
304	13
305	13
306	13
307	14
308	10
309	12
310	14
311	18
312	11
313	11
314	12
315	20
316	17
317	14
318	11
319	17
320	11
